Image file,Medium,Museum,Museum-based instance ID,Subset,Width,Height,Product size,Aspect ratio
436018.jpg,Oil on canvas,Metropolitan Museum of Art,29.100.60,train,3144.0,3840.0,12072960.0,0.8187
11779.jpg,Oil on canvas,Metropolitan Museum of Art,1982.373,train,1707.0,2136.0,3646152.0,0.7992
19022.jpg,Oil on canvas,Metropolitan Museum of Art,2006.418,train,2845.0,3811.0,10842295.0,0.7465
435883.jpg,Oil on canvas,Metropolitan Museum of Art,61.101.3,train,3811.0,2916.0,11112876.0,1.3069
10481.jpg,Oil on canvas,Metropolitan Museum of Art,09.95,train,3811.0,2099.0,7999289.0,1.8156
13345.jpg,Oil on canvas,Metropolitan Museum of Art,84.12a,train,2655.0,3722.0,9881910.0,0.7133
10215.jpg,Oil on canvas,Metropolitan Museum of Art,08.237.3,train,2421.0,1146.0,2774466.0,2.1126
437974.jpg,Oil on canvas,Metropolitan Museum of Art,1996.285,train,3080.0,3722.0,11463760.0,0.8275
11974.jpg,Oil on canvas,Metropolitan Museum of Art,1988.353,train,3803.0,3175.0,12074525.0,1.1978
436876.jpg,Oil on canvas,Metropolitan Museum of Art,25.110.46,train,1245.0,1773.0,2207385.0,0.7022
10474.jpg,Oil on canvas,Metropolitan Museum of Art,37.20.1,train,1611.0,2013.0,3242943.0,0.8003
437791.jpg,Oil on canvas,Metropolitan Museum of Art,1980.363,train,3038.0,3716.0,11289208.0,0.8175
11177.jpg,Oil on canvas,Metropolitan Museum of Art,08.88,train,3020.0,3921.0,11841420.0,0.7702
16743.jpg,Oil on canvas,Metropolitan Museum of Art,39.184.18,train,1814.0,1331.0,2414434.0,1.3629
10472.jpg,Oil on canvas,Metropolitan Museum of Art,55.118,train,1429.0,1869.0,2670801.0,0.7646
435713.jpg,Oil on canvas,Metropolitan Museum of Art,1972.261,train,2758.0,3797.0,10472126.0,0.7264
437971.jpg,Oil on canvas,Metropolitan Museum of Art,27.137,train,2985.0,3722.0,11110170.0,0.802
435874.jpg,Oil on canvas,Metropolitan Museum of Art,1993.400.2,train,2978.0,3722.0,11084116.0,0.8001
437658.jpg,Oil on canvas,Metropolitan Museum of Art,51.112.6,train,1959.0,1332.0,2609388.0,1.4707
436519.jpg,Oil on canvas,Metropolitan Museum of Art,87.15.74,train,1440.0,1904.0,2741760.0,0.7563
13104.jpg,Oil on canvas,Metropolitan Museum of Art,29.148.1,train,1791.0,2139.0,3830949.0,0.8373
435738.jpg,Oil on canvas,Metropolitan Museum of Art,49.7.46,train,3619.0,4000.0,14476000.0,0.9048
436851.jpg,Oil on canvas,Metropolitan Museum of Art,50.135.5,train,2377.0,3875.0,9210875.0,0.6134
392417.jpg,Oil on canvas,Metropolitan Museum of Art,58.576,train,2880.0,3097.0,8919360.0,0.9299
436875.jpg,Oil on canvas,Metropolitan Museum of Art,57.103,train,3018.0,3882.0,11715876.0,0.7774
